title;main_story_length;mainextra_length;completionist_length;combined_length;platform
The History Channel: Civil War - A Nation Divided;9;10;;9.5;PlayStation 2
The Hobbit (2003);11.5;15;;13;PlayStation 2
The Incredible Hulk (2008);8.5;10;;9.5;PlayStation 2
The Incredible Hulk: Ultimate Destruction;9.5;;;9.5;PlayStation 2
The Incredibles;6;;5;5.5;PlayStation 2
The King of Fighters 2001;0.5166666666666667;2;12;3.5;PlayStation 2
The King of Fighters 2002;0.35;2;;0.6333333333333333;PlayStation 2
The King of Fighters 2003;;3;;3;PlayStation 2
The Legend of Spyro: A New Beginning;7;;12;7.5;PlayStation 2
The Legend of Spyro: The Eternal Night;6.5;;;6.5;PlayStation 2
The Lord of the Rings: Aragorn's Quest;5.5;8.5;;6.5;PlayStation 2
The Matrix: Path of Neo;9;10.5;11.5;10;PlayStation 2
The Nightmare of Druaga: Fushigino Dungeon;;;;;PlayStation 2
The Punisher (2005);10;10;18;11;PlayStation 2
The Simpsons Road Rage;13;20;36.5;18.5;PlayStation 2
The Simpsons Skateboarding;;;;;PlayStation 2
The Sims (Console);36;50;;43;PlayStation 2
The Sims 2: Pets;;35.5;200;117.5;PlayStation 2
The Thing;8;15;6.5;8.5;PlayStation 2
Thrillville: Off the Rails;8;;11;9;PlayStation 2
Time Crisis 3;0.55;9;;5;PlayStation 2
Time Crisis II;2;;4;2.5;PlayStation 2
TMNT;5;5;5;5;PlayStation 2
TOCA Race Driver;;15;;15;PlayStation 2
Tom Clancy's Ghost Recon 2;8.5;10;16;10;PlayStation 2
Tom Clancy's Ghost Recon: Jungle Storm;13;16;18;16;PlayStation 2
Tony Hawk's Proving Ground (PS2/Wii);;;;;PlayStation 2
Tourist Trophy;30;23.5;;25.5;PlayStation 2
Trivial Pursuit (2009);1;5;11.5;4.5;PlayStation 2
True Crime: New York City;7;22.5;45;17.5;PlayStation 2
Tsugunai: Atonement;;21;35;28;PlayStation 2
Twisted Metal: Head-On;;;;;PlayStation 2
Ty the Tasmanian Tiger 2: Bush Rescue (Console);10.5;10.5;;10.5;PlayStation 2
Under the Skin;4;;;4;PlayStation 2
Unlimited Saga;;48.5;;48.5;PlayStation 2
Urban Chaos: Riot Response;8;;12.5;9;PlayStation 2
Urban Reign;6.5;54;;14.5;PlayStation 2
Van Helsing;4;;;4;PlayStation 2
Vexx;;;13;13;PlayStation 2
Victorious Boxers: Ippo's Road to Glory;;;;;PlayStation 2
Virtua Fighter 4;0.9;;1;0.95;PlayStation 2
Warriors of Might and Magic;4.5;;;4.5;PlayStation 2
Warriors Orochi;10;9.5;42;15.5;PlayStation 2
Warship Gunner 2;29.5;;44;36.5;PlayStation 2
Way of the Samurai;5.5;22;;8.5;PlayStation 2
Whiplash;;13;;13;PlayStation 2
Wild Arms Alter Code: F;28;54;95;50;PlayStation 2
Wipeout Fusion;5;10;;7;PlayStation 2
Wizardry: Tale of the Forsaken Land;;26;;26;PlayStation 2
WWE SmackDown vs. Raw 2008;9.5;31;45.5;20;PlayStation 2
WWE SmackDown vs. Raw 2009;5.5;;37;9.5;PlayStation 2
WWE SmackDown! Here Comes the Pain;13.5;10;;12;PlayStation 2
WWE SmackDown! vs. Raw;10.5;38;52;35.5;PlayStation 2
WWE SmackDown! vs. Raw 2006;9;22;29.5;17.5;PlayStation 2
X2: Wolverine's Revenge;14.5;9;;11;PlayStation 2
Yu-Gi-Oh! The Duelists of the Roses;22;28;50;30;PlayStation 2
Glass Rose;11.5;;;11.5;PlayStation 2
Bleach: Blade Battlers 2nd;;;;;PlayStation 2
Madden NFL 2003;;;;;PlayStation 2
NASCAR 2005: Chase for the Cup;50;;;50;PlayStation 2
Global Defence Force;23.5;;;23.5;PlayStation 2
NASCAR Thunder 2004;40;;;40;PlayStation 2
Juiced;9;;;9;PlayStation 2
Virtua Tennis 2;9;;12;;PlayStation 2
Conflict: Global Storm;10;;;10;PlayStation 2
Scooby-Doo! Night of 100 Frights;4;5.5;8.5;7;PlayStation 2
KOF: Maximum Impact 2;;;;;PlayStation 2
NBA Street V3;;;;;PlayStation 2
Shinobido: Way of the Ninja;9;;;9;PlayStation 2
Teenage Mutant Ninja Turtles 3: Mutant Nightmare;4.5;;;4.5;PlayStation 2
Tom and Jerry in War of the Whiskers;;;9.5;9.5;PlayStation 2
Hot Wheels: Stunt Track Challenge;;;5;5;PlayStation 2
Ben 10: Protector of Earth;2;3.5;4;4;PlayStation 2
Cel Damage;4;;;4;PlayStation 2
Ben 10: Alien Force;5.5;;;5.5;PlayStation 2
KOF: Maximum Impact Regulation A;;;;;PlayStation 2
Buzz!: The Big Quiz;10;;;;PlayStation 2
Sonic Mega Collection Plus;34;;;;PlayStation 2
Lego Football Mania;;;4;4;PlayStation 2
Frogger: The Great Quest;4;;;4;PlayStation 2
Tony Hawk's Downhill Jam;;;;;PlayStation 2
MX Unleashed;3;;;3;PlayStation 2
Romance of the Three Kingdoms X;;32;;32;PlayStation 2
Street Fighter Anniversary Collection;;3;;3;PlayStation 2
The King of Fighters: Neowave;0.3;;;0.3;PlayStation 2
Shadow Man: 2econd Coming;;9;;9;PlayStation 2
Aqua Teen Hunger Force Zombie Ninja Pro-Am;;8;;8;PlayStation 2
Happy Feet;;;;;PlayStation 2
The Adventures of Jimmy Neutron Boy Genius: Attack of the Twonkies;6.5;;;6.5;PlayStation 2
The Sims 2: Castaway;;;;;PlayStation 2
Shaun Palmer's Pro Snowboarder;;;;;PlayStation 2
Yu-Gi-Oh! GX: The Beginning of Destiny;19;;;19;PlayStation 2
Crazy Frog Racer;1.5;;;1.5;PlayStation 2
EyeToy: Play;;;;;PlayStation 2
Final Fight: Streetwise;7.5;;;7.5;PlayStation 2
Everblue 2;35;45;50;44;PlayStation 2
Snoopy vs. the Red Baron;;;;;PlayStation 2
Wallace & Gromit in Project Zoo;;;;;PlayStation 2
Ape Escape: Pumped & Primed;4.5;6;;5;PlayStation 2
50 Cent: Bulletproof;5.5;;;5.5;PlayStation 2
Bujingai: The Forsaken City;5;;6;5.5;PlayStation 2
Drakan: The Ancients' Gates;;33.5;;33.5;PlayStation 2
FIFA 08;30;;;;PlayStation 2
Hot Shots Tennis;12.5;;34;23;PlayStation 2
Jak and Daxter: The Lost Frontier;8.5;10;18.5;9;PlayStation 2
Jurassic Park: Operation Genesis;;6;10;7.5;PlayStation 2
Klonoa 2: Lunatea's Veil;8;12;;9;PlayStation 2
Madagascar;5;10;;6.5;PlayStation 2
Monster Hunter;;85;;85;PlayStation 2
Need for Speed: ProStreet;10;14.5;16;13;PlayStation 2
R-Type Final;2;30;34;26;PlayStation 2
Road Trip Adventure;8;18;35;19;PlayStation 2
SOCOM II: U.S. Navy SEALs;6;;;6;PlayStation 2
The Bigs;3.5;10;46.5;12.5;PlayStation 2
Wild Arms 5;46.5;50;60.5;51;PlayStation 2
Aeon Flux;6.5;;;6.5;PlayStation 2
Arcana Heart;0.45;3.5;5.5;3.5;PlayStation 2
ATV Offroad Fury;3.5;;;3.5;PlayStation 2
ATV Offroad Fury 2;;15;;15;PlayStation 2
ATV Offroad Fury 4;8.5;;;8.5;PlayStation 2
Auto Modellista;;3.5;;3.5;PlayStation 2
Avatar: The Last Airbender;7.5;8;;7.5;PlayStation 2
Barbarian;;20;;20;PlayStation 2
Beatmania (2006);41;45;;43.5;PlayStation 2
Bee Movie Game;5;5.5;;5;PlayStation 2
Blitz: The League;15;;;15;PlayStation 2
Brave: The Search for Spirit Dancer;6;;7;6.5;PlayStation 2
Buffy the Vampire Slayer: Chaos Bleeds;8.5;10;;9;PlayStation 2
Capcom Fighting Evolution;0.2833333333333333;;;0.2833333333333333;PlayStation 2
Capcom vs. SNK 2: Mark of the Millennium 2001;0.55;3;;1.5;PlayStation 2
Captain Commando;2.5;2;0.75;2;PlayStation 2
Cars;6.5;;13;8.5;PlayStation 2
Castle Shikigami 2;0.75;;;0.75;PlayStation 2
Crimson Tears;11.5;;;11.5;PlayStation 2
Crisis Zone;0.5833333333333334;;;0.5833333333333334;PlayStation 2
Dark Summit;;;;;PlayStation 2
Digimon World Data Squad;;;;;PlayStation 2
Disney's PK: Out of the Shadows;3.5;;;3.5;PlayStation 2
Disney's Tarzan: Untamed;4;;;4;PlayStation 2
Downhill Domination;;;;;PlayStation 2
Ephemeral Fantasia;51.5;;65;54.5;PlayStation 2
Eragon;6;;13;9;PlayStation 2
Extermination;5.5;;7;6;PlayStation 2
Fantastic Four: Rise of the Silver Surfer;5.5;10;;7.5;PlayStation 2
Fatal Fury Special;1;1;1.5;1.5;PlayStation 2
Forgotten Worlds;0.8833333333333333;;2;1;PlayStation 2
Freekstyle;5.5;;;5.5;PlayStation 2
Gauntlet: Seven Sorrows;8.5;;;8.5;PlayStation 2
Genji: Dawn of the Samurai;7;6.5;;7;PlayStation 2
Ghosthunter;10;8.5;;10;PlayStation 2
Harvest Moon: Save the Homeland;40;35;;37.5;PlayStation 2
Hot Shots Golf Fore!;;;;;PlayStation 2
Hot Wheels Velocity X;2.5;;7.5;5;PlayStation 2
Jak X: Combat Racing;8;9.5;;8.5;PlayStation 2
Jet Li: Rise to Honor;8.5;10.5;14;11;PlayStation 2
Justice League Heroes;5;;21;13;PlayStation 2
Kessen;16;15;;15.5;PlayStation 2
Kessen II;30;;;30;PlayStation 2
Kinetica;;;;;PlayStation 2
Legaia 2: Duel Saga;38;46;96;46;PlayStation 2
Madden NFL 2002;;;;;PlayStation 2
Mana Khemia 2: Fall of Alchemy;52;38;65.5;55.5;PlayStation 2
Mana Khemia: Alchemists of Al-Revis;43;49.5;57.5;47.5;PlayStation 2
Maximo: Ghosts to Glory;10.5;15;;12.5;PlayStation 2
Mega Man 2: The Power Fighters;1;0.6666666666666666;;0.9666666666666667;PlayStation 2
Mega Man: The Power Battle;0.6333333333333333;;0.7;0.6333333333333333;PlayStation 2
Midnight Club: Street Racing;;9;8.5;8.5;PlayStation 2
Mobile Light Force;2;;;2;PlayStation 2
Mobile Light Force 2;0.4666666666666667;3;;0.9;PlayStation 2
Monster Rancher 3;24.5;;;24.5;PlayStation 2
Mystic Heroes;6;;;6;PlayStation 2
Neopets: The Darkest Faerie;23.5;33.5;;28.5;PlayStation 2
Onimusha Blade Warriors;;;;;PlayStation 2
Pro Evolution Soccer 2008;67;361;;;PlayStation 2
Pro Evolution Soccer 3;90;250;;;PlayStation 2
Radiata Stories;36.5;43.5;96;51.5;PlayStation 2
Reign of Fire (Console);;6;;6;PlayStation 2
Ring of Red;60;;;60;PlayStation 2
Robots (2005);5;;;5;PlayStation 2
Rocky (2002);17;;;17;PlayStation 2
Saint Seiya: The Hades;3;;;3;PlayStation 2
Saint Seiya: The Sanctuary;4;4;;4;PlayStation 2
Samurai Champloo: Sidetracked;8;;;8;PlayStation 2
Shining Force EXA;60;47;;49;PlayStation 2
Sky Odyssey;3.5;;;3.5;PlayStation 2
Smash TV;1;2.5;1.5;1.5;PlayStation 2
Smuggler's Run;;;1;1;PlayStation 2
SNK vs. Capcom: SVC Chaos;0.26666666666666666;2;;1.5;PlayStation 2
SOCOM 3: U.S. Navy SEALs;8;;;8;PlayStation 2
SOCOM: U.S. Navy SEALs Combined Assault;;;;;PlayStation 2
Space Channel 5: Special Edition;10;12;;11;PlayStation 2
Spartan: Total Warrior;25;20;20;23;PlayStation 2
Spawn: Armageddon;15;;;15;PlayStation 2
Spy Fiction;9;;;9;PlayStation 2
Spy Hunter (2001);12;;;12;PlayStation 2
State of Emergency;5;8;;5.5;PlayStation 2
Stella Deus: The Gate of Eternity;40.5;42.5;62.5;48;PlayStation 2
Stuntman;;;30;30;PlayStation 2
SWAT: Global Strike Team;6;;;6;PlayStation 2
Syphon Filter: Logan's Shadow;10;10.5;9.5;10;PlayStation 2
Taiko: Drum Master;5.5;;;5.5;PlayStation 2
Tales of Destiny (PS2);39;52;;41;PlayStation 2
Tales of Legendia;33;55.5;64.5;44;PlayStation 2
Taz: Wanted;8;;;8;PlayStation 2
Tekken 5;2;18.5;33.5;11.5;PlayStation 2
Tenchu: Wrath of Heaven;;13.5;;13.5;PlayStation 2
The Dog Island;;10;;10;PlayStation 2
The Fairly OddParents: Breakin' da Rules;11.5;10;;11;PlayStation 2
The Getaway;12.5;30;;13.5;PlayStation 2
The Godfather: The Game;14;24.5;27.5;23;PlayStation 2
The Great Escape (2003);9;;;9;PlayStation 2
The Haunted Mansion;9;12;;9.5;PlayStation 2
The King of Fighters XI;5.5;18;;8.5;PlayStation 2
The Sword of Etheria;8;;;8;PlayStation 2
The X-Files: Resist or Serve;8.5;6;;7.5;PlayStation 2
Transformers: The Game;5;17.5;18.5;6.5;PlayStation 2
Trapt;5;7;;5;PlayStation 2
Warriors Orochi 2;17.5;30;47.5;30;PlayStation 2
Way of the Samurai 2;;12;;12;PlayStation 2
Wheel of Fortune: Deluxe Edition;;;;;PlayStation 2
Wild Arms 4;25.5;26.5;35;27;PlayStation 2
X-Men: Next Dimension;;4;;4;PlayStation 2
Legend of Kay;;13;;13;PlayStation 2
The Incredibles: Rise of the Underminer;2.5;;;2.5;PlayStation 2
Dino Stalker;38;;;38;PlayStation 2
Pro Evolution Soccer 2;;;;;PlayStation 2
Jackass: The Game;;;;;PlayStation 2
Monster Rancher 4;;;;;PlayStation 2
Bleach: Blade Battlers;;;;;PlayStation 2
Yu Yu Hakusho: Dark Tournament;;;;;PlayStation 2
Destruction Derby: Arenas;;;;;PlayStation 2
Heatseeker;10;;;10;PlayStation 2
Silent Scope 2: Dark Silhouette;0.6666666666666666;;;0.6666666666666666;PlayStation 2
Without Warning;;;;;PlayStation 2
Gran Turismo Concept 2002 Tokyo-Geneva;;60.5;;60.5;PlayStation 2
BioShock Infinite;11.5;15.5;25.5;13.5;PlayStation 3
Portal;3;5;8.5;4;PlayStation 3
The Elder Scrolls V: Skyrim;31.5;103.5;212;104;PlayStation 3
Portal 2;8.5;13;19;10;PlayStation 3
Borderlands 2;31;50.5;96.5;47;PlayStation 3
BioShock;12;15.5;21;14.5;PlayStation 3
Fallout: New Vegas;28.5;60;126;57;PlayStation 3
Half-Life 2;13.5;15.5;19;14.5;PlayStation 3
Batman: Arkham Asylum GOTY;11;16.5;24;14;PlayStation 3
Dishonored;12.5;17;31.5;16;PlayStation 3
Life Is Strange;19;;;;PlayStation 3
BioShock 2;11;14.5;23;13;PlayStation 3
Metal Gear Solid V: The Phantom Pain;41.5;78.5;164;77.5;PlayStation 3
Batman: Arkham City GOTY;13.5;24;56.5;20.5;PlayStation 3
Borderlands;22.5;35.5;57;32.5;PlayStation 3
Half-Life 2: Episode One;4;4.5;5;4;PlayStation 3
The Walking Dead;13.5;;;;PlayStation 3
Half-Life 2: Episode Two;5.5;6;8;6;PlayStation 3
Limbo;3.5;4;6.5;4;PlayStation 3
Just Cause 2;17.5;35;87.5;30;PlayStation 3
Grand Theft Auto V;31;44;75;41.5;PlayStation 3
Dark Souls: Prepare to Die Edition;50.5;67;99;64;PlayStation 3
Fallout 3: Game of the Year;31;72.5;107.5;71.5;PlayStation 3
Alan Wake;11;14.5;24.5;12.5;PlayStation 3
Middle-Earth: Shadow of Mordor;15;22.5;30;23.5;PlayStation 3
Deus Ex: Human Revolution;21;29.5;41.5;28.5;PlayStation 3
Wolfenstein: The New Order;12;15;24;14;PlayStation 3
Counter-Strike: Global Offensive;345;264.5;;;PlayStation 3
Mass Effect;17;29;43;27;PlayStation 3
Saints Row: The Third;14.5;26;43;25;PlayStation 3
Grand Theft Auto: San Andreas;33;51;100.5;48;PlayStation 3
Brothers: A Tale of Two Sons;3;3.5;4;3;PlayStation 3
Mass Effect 2;24.5;35.5;49.5;35.5;PlayStation 3
Mirror's Edge;6;8.5;12;6.5;PlayStation 3
Far Cry 3;15.5;25.5;36.5;24;PlayStation 3
Hotline Miami;5;7;14;6.5;PlayStation 3
Batman: Arkham Origins;12.5;21;39;17.5;PlayStation 3
Grand Theft Auto IV;28;41;80.5;35;PlayStation 3
Hitman: Absolution;12.5;20.5;31;15.5;PlayStation 3
XCOM: Enemy Unknown;25.5;32.5;50;29.5;PlayStation 3
The Wolf Among Us;10.5;;;;PlayStation 3
Final Fantasy VII;39;58;90;56.5;PlayStation 3
Psychonauts;13;16;22.5;15.5;PlayStation 3
Darksiders;17.5;20.5;27.5;20;PlayStation 3
Grand Theft Auto: Vice City;20.5;31;48.5;27.5;PlayStation 3
Dead Space;11.5;13;20.5;12.5;PlayStation 3
The Walking Dead: Season 2;9.5;;;;PlayStation 3
Braid;5;6;7.5;5.5;PlayStation 3
Fez;6;8.5;11.5;8.5;PlayStation 3
South Park: The Stick of Truth;11;14;17.5;13.5;PlayStation 3
Grand Theft Auto III;17.5;24.5;41;21.5;PlayStation 3
Trine 2;8;11;17;9.5;PlayStation 3
Assassin's Creed II;18.5;27;34.5;26;PlayStation 3
Spec Ops: The Line;6;7.5;16;7;PlayStation 3
Metal Gear Solid V: Ground Zeroes;1.5;6.5;20;3;PlayStation 3
Assassin's Creed IV: Black Flag;21.5;38.5;54.5;36;PlayStation 3
Dead Island;18;26.5;48.5;25;PlayStation 3
Thomas Was Alone;3.5;3.5;4;3.5;PlayStation 3
Trine;6;8.5;16;7.5;PlayStation 3
Alan Wake's American Nightmare;3.5;4.5;7.5;4;PlayStation 3
Saints Row IV;15;22.5;33.5;22.5;PlayStation 3
Tomb Raider (2013);11.5;15.5;20;14.5;PlayStation 3
Assassin's Creed III;15.5;31;54.5;26;PlayStation 3
Castle Crashers;6.5;10.5;58;10;PlayStation 3
Far Cry 3: Blood Dragon;4.5;7.5;9;7;PlayStation 3
Sleeping Dogs;15.5;21.5;32.5;21;PlayStation 3
DmC: Devil May Cry;9;11;38.5;10;PlayStation 3
L.A. Noire;20.5;27;38.5;25.5;PlayStation 3
Shovel Knight;6;7.5;15;7;PlayStation 3
Payday 2;18.5;86;253;109.5;PlayStation 3
Burnout Paradise: The Ultimate Box;11.5;32;33;16;PlayStation 3
Metal Gear Rising: Revengeance;6.5;10;26.5;7.5;PlayStation 3
The Swapper;5;5.5;5.5;5;PlayStation 3
Murdered: Soul Suspect;6.5;8.5;11;8.5;PlayStation 3
Crysis 2;9;11.5;15.5;10;PlayStation 3
Max Payne 3;10;12.5;32;11;PlayStation 3
Deus Ex: Human Revolution - Director's Cut;24;31;42.5;31.5;PlayStation 3
F.E.A.R. 2: Project Origin;7;9.5;10.5;8;PlayStation 3
Guacamelee!;6;8.5;14;8;PlayStation 3
Brutal Legend;9;13.5;23.5;11;PlayStation 3
Grand Theft Auto: Episodes From Liberty City;20;26.5;51;24.5;PlayStation 3
Rogue Legacy;16.5;25;35;21;PlayStation 3
Darksiders II;22;28;43.5;26;PlayStation 3
Thief;10;22;39.5;16.5;PlayStation 3
Child of Light;11;13.5;15.5;12.5;PlayStation 3
Hitman: Blood Money;12;14.5;19;13.5;PlayStation 3
F.E.A.R.;8.5;11;12;9;PlayStation 3
The Elder Scrolls IV: Oblivion;25.5;92.5;191;91;PlayStation 3
Dead Space 2;9;11.5;15.5;10;PlayStation 3
Final Fantasy XIII;49.5;62.5;110;62;PlayStation 3
Payday: The Heist;9.5;80.5;42;18.5;PlayStation 3
Remember Me;9.5;11.5;16;10.5;PlayStation 3
Assassin's Creed: Revelations;12;21;36;19;PlayStation 3
Dragon Age: Origins;41;59.5;85.5;57.5;PlayStation 3
F.E.A.R. 3;6;8;14.5;6.5;PlayStation 3
Valkyria Chronicles;31.5;38.5;54;36;PlayStation 3
Game of Thrones - A Telltale Games Series;11.5;12.5;13.5;12;PlayStation 3
Assassin's Creed: Brotherhood;14.5;26;42;24;PlayStation 3
Red Faction: Armageddon;8;10.5;19.5;9;PlayStation 3
Borderlands: The Pre-Sequel!;17.5;25;43;24;PlayStation 3
Alien: Isolation;18.5;23.5;30.5;20.5;PlayStation 3
Awesomenauts;20;47.5;500;79;PlayStation 3
Machinarium;5;5.5;6;5;PlayStation 3
Sniper Elite V2;7;12;29;8;PlayStation 3
Mafia II;12;16;28.5;14;PlayStation 3
Saints Row 2;20.5;29.5;53.5;26;PlayStation 3
Dungeon Defenders;14;51.5;364.5;44;PlayStation 3
Resident Evil 4;16.5;20.5;26.5;18.5;PlayStation 3
Dragon Age: Inquisition;44;84.5;122;85;PlayStation 3
Assassin's Creed;15;19.5;31;18;PlayStation 3
Dragon Age: Origins - Ultimate Edition;53;74;105.5;75;PlayStation 3
Spelunky;18.5;44;85;42.5;PlayStation 3
Far Cry 4;15.5;28.5;43;28.5;PlayStation 3
Far Cry 2;17;27;36.5;23.5;PlayStation 3
Resident Evil 5;12;17.5;33;15;PlayStation 3
Resident Evil: Revelations;9;13.5;32;10;PlayStation 3
Hitman 2: Silent Assassin;14.5;15;18;15;PlayStation 3
Metro: Last Light;10.5;13;32;11.5;PlayStation 3
Alpha Protocol;13.5;17.5;24.5;16;PlayStation 3
Final Fantasy VIII;42;61.5;92;60.5;PlayStation 3
Medal of Honor (2010);5;6;12;5.5;PlayStation 3
Lara Croft and the Guardian of Light;6;8;18;7.5;PlayStation 3
Dark Souls II: Scholar of the First Sin;38;61.5;85;57;PlayStation 3
Overlord II;17;20.5;28.5;20;PlayStation 3
Valiant Hearts: The Great War;6;7;8.5;7;PlayStation 3
Deus Ex: Human Revolution - The Missing Link DLC;4.5;6;7;5.5;PlayStation 3
Kingdoms of Amalur: Reckoning;30;55.5;103.5;58.5;PlayStation 3
Hitman: Absolution - Sniper Challenge;0.4166666666666667;1;2.5;1;PlayStation 3
Back to the Future: The Game;14;;;;PlayStation 3
Just Cause;8.5;19;27.5;12;PlayStation 3
The Lord of the Rings: War in the North;12;15;27.5;14;PlayStation 3
Tomb Raider: Legend;7.5;9;16.5;8.5;PlayStation 3
Operation Flashpoint: Dragon Rising;12;15;26.5;12.5;PlayStation 3
The Evil Within;16;19;38;17.5;PlayStation 3
Bit.Trip Presents Runner 2: Future Legend of Rhythm Alien;6.5;9;24;9.5;PlayStation 3
Costume Quest;5.5;6.5;7;6;PlayStation 3
Anomaly: Warzone Earth;6;8.5;19;8;PlayStation 3
Batman: Arkham City;12.5;21;46.5;18;PlayStation 3
Giana Sisters: Twisted Dreams;7.5;13;12;9;PlayStation 3
Shank 2;4;6;20;4.5;PlayStation 3
Tomb Raider: Anniversary;13;15;19;14.5;PlayStation 3
Call of Duty: Modern Warfare 2;6.5;8.5;25.5;8;PlayStation 3
Closure;6;8;9.5;8;PlayStation 3
Sonic & All-Stars Racing Transformed;7;14;40;13;PlayStation 3
Risen 2: Dark Waters;26.5;32;46;33.5;PlayStation 3
SteamWorld Dig;5;6.5;7.5;6;PlayStation 3
Back to the Future: The Game - Episode 3: Citizen Brown;2.5;2.5;3;2.5;PlayStation 3
Back to the Future: The Game - Episode 2: Get Tannen!;2.5;2.5;3;2.5;PlayStation 3
Crysis;10.5;12.5;13;11;PlayStation 3
Overlord: Raising Hell;9.5;12.5;36.5;17;PlayStation 3
Puzzle Agent;3.5;3.5;4;3.5;PlayStation 3
Shank;3;4.5;10;3.5;PlayStation 3
Tomb Raider: Underworld;10;12;18;10.5;PlayStation 3
Papo & Yo;3.5;3.5;6;3.5;PlayStation 3
Resident Evil: Revelations 2;24;9;;;PlayStation 3
Back to the Future: The Game - Episode 4: Double Visions;2.5;2.5;3;2.5;PlayStation 3
Back to the Future: The Game - Episode 5: Outatime;2.5;2.5;3;2.5;PlayStation 3
Call of Juarez: Gunslinger;5;7;14;6;PlayStation 3
Red Faction: Guerrilla;13.5;20.5;48.5;18;PlayStation 3
Plants vs. Zombies;7.5;19.5;45;17.5;PlayStation 3
Uncharted: Drake's Fortune;8.5;10;18;9.5;PlayStation 3
Dark Souls II;48;63;117;61.5;PlayStation 3
Enslaved: Odyssey to the West;9;10.5;18.5;10;PlayStation 3
Tales of Zestiria;43.5;56.5;275;59.5;PlayStation 3
Rocketbirds: Hardboiled Chicken;3.5;4;7;3.5;PlayStation 3
Strider (2014);5;7;14;6.5;PlayStation 3
Rage;11;15;22.5;14.5;PlayStation 3
Mass Effect 3;23.5;35;48;34.5;PlayStation 3
Bulletstorm;7.5;9.5;16;8;PlayStation 3
Fallout 3;23;59;124;54;PlayStation 3
Lone Survivor;4;5;9.5;4.5;PlayStation 3
Sonic Generations;5.5;9.5;23;8;PlayStation 3
Star Wars: The Force Unleashed II;5;7;11;5.5;PlayStation 3
Alice: Madness Returns;13.5;15;22.5;15;PlayStation 3
Stealth Bastard Deluxe;6;10.5;19;7.5;PlayStation 3
The Secret of Monkey Island;6.5;7;7.5;6.5;PlayStation 3
Warhammer 40,000: Space Marine;8;9;26.5;8.5;PlayStation 3
Call of Duty: Black Ops;7;13;14.5;8;PlayStation 3
Proteus;1;;;;PlayStation 3
Dirt 3;14;24;36;21;PlayStation 3
Final Fantasy XIII-2;27;41.5;70;42;PlayStation 3
Stacking;4;6;8.5;6;PlayStation 3
Uncharted 2: Among Thieves;11;12.5;22.5;11.5;PlayStation 3
Beyond Good & Evil;10.5;12;13;12;PlayStation 3
Grid 2;17;19.5;27;19.5;PlayStation 3
Mortal Kombat Arcade Kollection;8;1;;;PlayStation 3
Rochard;5.5;6;9.5;5.5;PlayStation 3
Sam & Max 301: The Penal Zone;4;3.5;4;4;PlayStation 3
Shatter;2.5;3;6;3;PlayStation 3
Watch Dogs;18.5;33;57.5;27;PlayStation 3
The Bureau: XCOM Declassified;11;13.5;16;12.5;PlayStation 3
Hotline Miami 2: Wrong Number;8.5;13.5;16;9.5;PlayStation 3
Sam & Max 302: The Tomb of Sammun-Mak;3.5;3.5;3.5;3.5;PlayStation 3
Sam & Max 303: They Stole Max's Brain!;3.5;3;4;3.5;PlayStation 3
Sam & Max 304: Beyond the Alley of the Dolls;3;2.5;3.5;3;PlayStation 3
Sam & Max 305: The City That Dares Not Sleep;3;2.5;3.5;3;PlayStation 3
Uncharted 3: Drake's Deception;9;10.5;20;10;PlayStation 3
Rock of Ages;4;5;12.5;4.5;PlayStation 3
Rayman Legends;9;14.5;27.5;14;PlayStation 3
Lego Marvel Super Heroes;11;19;37.5;22;PlayStation 3
Hitman: Contracts;11;12.5;13;11;PlayStation 3
Killer Is Dead;7;10;24;8.5;PlayStation 3
The Darkness II;6;8;14;7;PlayStation 3
Injustice: Gods Among Us - Ultimate Edition;5;8;7.5;5;PlayStation 3
Battlefield: Bad Company 2;7;10;15.5;7.5;PlayStation 3
Call of Duty: Black Ops II;7;9.5;26.5;8;PlayStation 3
Monkey Island 2: LeChuck's Revenge;7;7.5;7.5;7;PlayStation 3
Resident Evil 6;22;28.5;56;25;PlayStation 3
Tom Clancy's Splinter Cell: Conviction;7.5;12;19;9;PlayStation 3
Ultra Street Fighter IV;2;5.5;4.5;3.5;PlayStation 3
Dead Island: Riptide;11;19.5;36.5;18;PlayStation 3
Metal Gear Solid 4: Guns of the Patriots;18.5;21.5;26.5;19.5;PlayStation 3
Need for Speed: Hot Pursuit (2010);14.5;21;36.5;19.5;PlayStation 3
Destiny;11.5;25;288.5;31;PlayStation 3
Call of Duty: Advanced Warfare;7;8.5;14.5;7.5;PlayStation 3
Lego The Lord of the Rings: The Video Game;10;14.5;31.5;16.5;PlayStation 3
Race Driver: Grid;23;26;38.5;26;PlayStation 3
Rayman Origins;10.5;14;21;13;PlayStation 3
Sacred Citadel;5;6;11;5;PlayStation 3
The Cave;4.5;7;13;6;PlayStation 3
Luftrausers;4.5;6.5;14;6;PlayStation 3
Dungeon Siege III;14;16;23;16;PlayStation 3
Kane & Lynch 2: Dog Days;4;4.5;5.5;4;PlayStation 3
Prince of Persia: The Two Thrones;10;11;12.5;10.5;PlayStation 3
Dirt: Showdown;9.5;11;15.5;10.5;PlayStation 3
Joe Danger 2: The Movie;2;4.5;7;3.5;PlayStation 3
Prototype;11.5;16.5;34.5;14.5;PlayStation 3
