Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,AverageGINI
Uganda,UGA,GINI index (World Bank estimate),SI.POV.GINI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44.36,,,41.43,,,,39.04,,,43,,,45.17,,,42.94,,,,44.2,,,41.01,,,,,43.33
Ukraine,UKR,GINI index (World Bank estimate),SI.POV.GINI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.31,,,,29.71,28.93,,39.29,35.16,,,28.96,,,29.05,28.66,28.93,29.02,29.79,27.01,26.64,25.32,24.82,24.55,24.74,24.55,24.09,,,26.70538462
Upper middle income,UMC,GINI index (World Bank estimate),SI.POV.GINI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#DIV/0!
Uruguay,URY,GINI index (World Bank estimate),SI.POV.GINI,,,,,,,,,,,,,,,,,,,,,,43.65,,,,,,,,42.37,,,40.2,,,42.11,42.66,42.73,43.81,,44.39,46.17,46.66,46.22,47.13,45.87,47.2,47.63,46.27,46.28,45.32,43.37,41.32,41.87,41.6,,,45.15333333
United States,USA,GINI index (World Bank estimate),SI.POV.GINI,,,,,,,,,,,,,,,,,,,,,,,,,,,37.73,,,,,38.36,,,40.35,,,40.86,,,40.46,,,,40.62,,,41.75,,,40.46,,,41.06,,,,40.87
Uzbekistan,UZB,GINI index (World Bank estimate),SI.POV.GINI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.95,,,,,,,,,,44.67,,36.1,,33.04,35.27,,,,,,,,,,,,,,34.80333333
St. Vincent and the Grenadines,VCT,GINI index (World Bank estimate),SI.POV.GINI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#DIV/0!
"Venezuela, RB",VEN,GINI index (World Bank estimate),SI.POV.GINI,,,,,,,,,,,,,,,,,,,,,,55.61,,,,,,53.45,,45.3,,,42.51,,,47.82,,,49.8,48.32,,48.22,50.56,50.37,49.82,52.36,46.94,,,,,,,,,,,49.71166667
British Virgin Islands,VGB,GINI index (World Bank estimate),SI.POV.GINI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#DIV/0!
Virgin Islands (U.S.),VIR,GINI index (World Bank estimate),SI.POV.GINI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#DIV/0!
Vietnam,VNM,GINI index (World Bank estimate),SI.POV.GINI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35.65,,,,,,35.44,,,,37.32,,37.17,,37.44,,38.15,,42.68,,38.7,,37.59,,,38.43571429
Vanuatu,VUT,GINI index (World Bank estimate),SI.POV.GINI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37.19,,,,,,,37.19
West Bank and Gaza,PSE,GINI index (World Bank estimate),SI.POV.GINI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33.97,34.72,33.96,35.61,,34.46,,,,,,,,34.544
World,WLD,GINI index (World Bank estimate),SI.POV.GINI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#DIV/0!
Samoa,WSM,GINI index (World Bank estimate),SI.POV.GINI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42.69,,,,,,,,,42.69
"Yemen, Rep.",YEM,GINI index (World Bank estimate),SI.POV.GINI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#DIV/0!
South Africa,ZAF,GINI index (World Bank estimate),SI.POV.GINI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,59.33,,,60.69,,,,57.77,,,,,,64.79,,63.01,,,63.38,,,,,,62.2375
"Congo, Dem. Rep.",COD,GINI index (World Bank estimate),SI.POV.GINI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42.16,,,,,,,,42.1,,,,,42.13
Zambia,ZMB,GINI index (World Bank estimate),SI.POV.GINI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60.51,,52.61,,,48.33,,49.13,,,,42.06,,54.29,,54.62,,,,55.62,,,,,,,51.6475
Zimbabwe,ZWE,GINI index (World Bank estimate),SI.POV.GINI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43.15,,,,,,43.15
