,neighborhoods,price,sqft,title,,,,
1488, (Minutes away),"$500,000 ","
                    6br -
                    3200ft2 -
                ",Secluded 15 acre horse and veggie farm with horse trails,,,,
1926, (Brooklyn),"$505,900 ","
                    3br -
                ",House For Sale,,,,
1030, (Bedford),"$509,900 ","
                    3br -
                    1598ft2 -
                ",Just Listed - Unique and Historical Home,,,,
40, (RICHMOND HILL 952689),"$515,000 ","
                    4br -
                ","* EVERYONE'S USING MONEY TO BUY A VACATION, BUY A HOUSE INSTEAD *",,,,
2272, (Matthews Av(Neil Av)),"$515,000 ",NA,"In the heart of  "" Morris park"" area,2 family house!",,,,
345, (184th St),"$519,000 ","
                    4br -
                    2100ft2 -
                ","Move in Ready Brick, Semi Detached 2 Family Home",,,,
389, (QUEENS),"$519,000 ","
                    3br -
                ",Cape Detached 1 Family,,,,
1021, (QUEENS),"$519,000 ","
                    3br -
                ",Cape Detached 1 Family,,,,
1447, (Huntington),"$519,000 ","
                    4br -
                ","House for Sale in Huntington, 57 Margo Lane",,,,
1576, (QUEENS),"$519,000 ","
                    3br -
                ",Cape Detached 1 Family,,,,
163, (Rosedale),"$519,999 ","
                    4br -
                ",Gorgeous Newly Renovated 1 Fam Detached in the Best Block Rosedale!!!!,,,,
384, (Rosedale),"$519,999 ","
                    4br -
                ",Newly Renovated Brick 1 Fam Detached Private Driveway 4BR's in Rosedal,,,,
409, (rosedale),"$519,999 ","
                    4br -
                ",Gorgeous Fully Renovated Detached Brick 1 Family in Prime Rosedale!,,,,
412, (rosedale),"$519,999 ","
                    4br -
                ",Gorgeous Fully Renovated Detached Brick 1 Family in Prime Rosedale!,,,,
415, (rosedale),"$519,999 ","
                    4br -
                ",Gorgeous Fully Renovated Detached Brick 1 Family in Prime Rosedale!,,,,
418, (rosedale),"$519,999 ","
                    4br -
                ",Gorgeous Fully Renovated Detached Brick 1 Family in Prime Rosedale!,,,,
420, (rosedale),"$519,999 ","
                    4br -
                ",Gorgeous Fully Renovated Detached Brick 1 Family in Prime Rosedale!,,,,
422, (rosedale),"$519,999 ","
                    4br -
                ",Gorgeous Fully Renovated Detached Brick 1 Family in Prime Rosedale!,,,,
428, (rosedale),"$519,999 ","
                    4br -
                ",Gorgeous Fully Renovated Detached Brick 1 Family in Prime Rosedale!,,,,
440, (rosedale),"$519,999 ","
                    4br -
                ",Gorgeous Fully Renovated Detached Brick 1 Family in Prime Rosedale!,,,,
463, (rosedale),"$519,999 ","
                    4br -
                ",Gorgeous Fully Renovated Detached Brick 1 Family in Prime Rosedale!,,,,
465, (rosedale),"$519,999 ","
                    4br -
                ",Gorgeous Fully Renovated Detached Brick 1 Family in Prime Rosedale!,,,,
1124, (Pine St),"$520,000 ","
                    4br -
                ",New On The Market Finished Basement 2 Family !,,,,
20, (Bayswater),"$525,000 ","
                    6br -
                    2800ft2 -
                ",2 Family in Bayswater 4BR/2BR,,,,
689, (Brooklyn),"$525,000 ","
                    1br -
                    875ft2 -
                ","Pre-War Beauty, with Views & Light!",,,,
1905, (Yonkers),"$525,000 ","
                    5br -
                    2000ft2 -
                ","OPEN HOUSE - Beautiful 5 bdrm 2 bath - $525,000",,,,
2319, (REGO PARK/FOREST HILLS),"$525,000 ","
                    1br -
                    750ft2 -
                ",INVESTORS DREAM-1 BDR CONDO-DO NOT MISS,,,,
247, (OZONE PARK 995199),"$529,000 ","
                    7br -
                ",* CUT THE HASSLE! *,,,,
1649, (Allerton),"$529,000 ","
                    5br -
                ",3.5 Bath House,,,,
374, (rosedale),"$529,999 ","
                    4br -
                ",Gorgeous Fully Renovated Detached Brick 1 Family in Prime Rosedale!,,,,
391, (Rosedale),"$529,999 ","
                    4br -
                ",TOP LOCATION 1 Family Fully Detached Brick 4 Bedrooms Newly Renovated,,,,
402, (rosedale),"$529,999 ","
                    4br -
                ",Gorgeous Fully Renovated Detached Brick 1 Family in Prime Rosedale!,,,,
2320, (MIDLAND BEACH),"$529,999 ",NA,Large lot with much potential for sale in Midland Beach,,,,
24, (montreal),"$534,000 ","
                    2br -
                    1550ft2 -
                ",WATERFRONT CONDO FOR SALE - MONTREAL (CANADA),,,,
1284, (East Flatbush),"$535,000 ","
                    3br -
                    1504ft2 -
                ",Gorgeous and Spacious 3 Bdrms 1 Family Brick Home,,,,
21, (Norwood/South Bronx),"$539,000 ","
                    5br -
                    2800ft2 -
                ",Beautiful 2 Family in the Up and Coming South Bronx,,,,
687, (Edson Ave),"$539,000 ","
                    4br -
                    1680ft2 -
                ",+++ $$$ \/ + \/ Renovated Detached 2 Family Home 4 Br 2 Bath  ::,,,,
720, (Edson Ave),"$539,000 ","
                    4br -
                    1680ft2 -
                ",(!) + Detached 2 Family Brick Home With 2 Car Garage   : ☎,,,,
742, (Edson Ave),"$539,000 ","
                    4br -
                    1680ft2 -
                ",$# $$$ 2 Family Brick Home 2/2 Br 2 Bath  || ::,,,,
763, (Edenwald),"$539,000 ","
                    4br -
                    1680ft2 -
                ",": ↗ 2 Family Brick Detached 4br 2 Bath, Basement   *** |",,,,
798, (Edson Ave),"$539,000 ","
                    4br -
                    1680ft2 -
                ",Renoavetd 2 Family Brick Home  (!) ✔ ♦ :,,,,
801, (Edson Ave),"$539,000 ","
                    4br -
                    1680ft2 -
                ",Renoavetd 2 Family Brick Home  (!) ✔ ♦ :,,,,
978, (Hoboken),"$539,000 ","
                    2br -
                    1765ft2 -
                ",Make an offer! Hoboken- 2+bed1bath on 2 levels w/ yard,,,,
1762, (Bronx),"$539,000 ","
                    4br -
                ",2 Bath House,,,,
1816, (Claremont),"$539,000 ","
                    5br -
                    2500ft2 -
                ","↠ {#} Multifamily home in claremont village, Bronx 10456  ###",,,,
2448, (QUEENS),"$539,000 ",NA,Must see this large 1 family detached house with 3 bedrooms and 3.5 ba,,,,
1718,NA,"$549,000 ","
                    2br -
                    1500ft2 -
                ",Most beautiful apartment in Queens,,,,
1910, (98 Petersville Road),"$549,000 ","
                    3br -
                    1800ft2 -
                ",Buy or Rent this spacious Colonial,,,,
2116, (Whitestone),"$549,000 ","
                    2br -
                    1500ft2 -
                ",2 Bath Co-op [Open House],,,,
2118, (College Point),"$549,000 ","
                    2br -
                    936ft2 -
                ",1 Bath Bungalow,,,,
2066, (EASTON),"$549,500 ","
                    3br -
                    2219ft2 -
                ",REBUILT CUSTOM RETREAT-JUST LISTED!,,,,
408, (SOUTH OZONE PARK 9369019),"$550,000 ",NA,"* ALTHOUGH OUTSIDE IS GETTING COLD, DON'T GET COLD FEET ON THIS DEAL *",,,,
442, (Saint Albans),"$550,000 ","
                    4br -
                ",House for Sale in Queens!!,,,,
691, (Queens),"$550,000 ","
                    6br -
                ",House for sale!!,,,,
739, (Queens),"$550,000 ","
                    6br -
                ",House for sale!!,,,,
829, (Upper East Side),"$550,000 ","
                    2br -
                ",RARE LAYOUT**INVESTOR FRIENDLY**TRIPLE EXPOSURE**SPLIT BEDROOMS,,,,
1608, (EAST FLATBUSH),"$550,000 ","
                    2000ft2 -
                ","OFF MARKET SALE - REPAIR, BODY SHOP, GARAGE, WAREHOUSE PRIME LOCATION",,,,
1609, (EAST FLATBUSH),"$550,000 ","
                    2000ft2 -
                ","OFF MARKET SALE - REPAIR, BODY SHOP, GARAGE, WAREHOUSE PRIME LOCATION",,,,
1817, (Brooklyn),"$550,000 ","
                    6br -
                    2035ft2 -
                ",Looking For Cash Investors - We Must Get Rid of All These Properties,,,,
2393, (Manhattan (UES)),"$550,000 ","
                    1br -
                ","GREAT PRICE, GREAT AMENITIES condo on Upper East Side!",,,,
426, (QUEENS),"$559,000 ","
                    5br -
                ",Detached Fully Renovated 1 Family,,,,
1040, (QUEENS),"$559,000 ","
                    5br -
                ",Detached Fully Renovated 1 Family,,,,
1099, (E 218 St),"$559,000 ","
                    6br -
                    10ft2 -
                ",Fully Renovated 2 Family Home For Sale  () ###,,,,
1107, (E 218 St),"$559,000 ","
                    6br -
                    10ft2 -
                ",Fully Renovated 2 Family Home For Sale  () ###,,,,
1580, (Cambria Heights),"$559,000 ","
                    5br -
                ",One-family,,,,
1585, (QUEENS),"$559,000 ","
                    5br -
                ",Detached Fully Renovated 1 Family,,,,
1601, (Cambria Heights),"$559,000 ","
                    5br -
                ",One-family,,,,
1960, (Massapequa),"$559,000 ","
                    4br -
                ",House For Sale,,,,
926, (queens),"$559,999 ",NA,2 family house,,,,
2, (Brooklyn),"$560,000 ","
                    3br -
                    1148ft2 -
                ",Awesome Single Family Available,,,,
75, (Brooklyn),"$560,000 ","
                    3br -
                    1148ft2 -
                ",Awesome Single Family Available,,,,
158, (Brooklyn),"$560,000 ","
                    3br -
                    1148ft2 -
                ",Awesome Single Family Available,,,,
192, (Brooklyn),"$560,000 ","
                    3br -
                    1148ft2 -
                ",Awesome Single Family Available,,,,
2124, (Flushing),"$560,000 ","
                    3br -
                ",1 Bath House,,,,
229, (E 170th Street),"$569,000 ","
                    4br -
                    2500ft2 -
                ",* {#} Fully Renovated 2 Family Home   &!,,,,
1544, (WEST BABYLON),"$569,000 ",NA,TAMMY CLUELESS AND THE SAGA CONTINUES BRAND NEW HOME!,,,,
1933, (E. Rockaway),"$569,000 ","
                    3br -
                ",House For Sale,,,,
1527, (DEER PARK),"$569,990 ",NA,GIVE ME QUALITY OR GIVE ME DEATH! BRAND NEW HOME!,,,,
198, (PLEASANTVILLE),"$574,999 ","
                    4br -
                    2000ft2 -
                ",4BR 2B HOUSE FOR SALE MOUNT PLEASANT TOWN TAX WITH PLEASANTVIL SCHOOLS,,,,
201, (PLEASANTVILLE SCHOOLS),"$575,000 ","
                    4br -
                    2000ft2 -
                ",PLEASANTVILLE WALK TO TRAIN-WITH SCHOOL BUS PUIFO HOUSE,,,,
334, (ALLERTON 900439),"$575,000 ","
                    5br -
                ",* GET READY TO PLACE YOUR VOTES,,,,
622, (Windsor Park),"$575,000 ","
                    4br -
                    1950ft2 -
                ",Hartsdale - Great  House Deal fell through! Brick Col/Cape,,,,
1785, (105 Lewis Street),"$575,000 ","
                    6br -
                ",North Yonkers- 2 Family for Sale,,,,
1866," (83 Leicester Street, Port Chester)","$575,900 ","
                    6br -
                    2600ft2 -
                ",OPEN HOUSE SUNDAY NOVEMBER 13TH FROM 1-3PM IN PORT CHESTER,,,,
9, (Williamsbridge),"$579,000 ","
                    6br -
                ",Beautiful Multi Family Home in Williamsbridge section,,,,
863, (Bronx),"$579,000 ","
                    6br -
                    2000ft2 -
                ",$# ~~ ↞ Move in Ready  2 Family Home   &! + !!!,,,,
883, (Barnes Ave),"$579,000 ","
                    6br -
                    2000ft2 -
                ",-! Renovated 2 Family Home   :# $$$ :),,,,
905,-10467,"$579,000 ","
                    6br -
                    2000ft2 -
                ",!* ^^^ Gut Renovated 2 Family Home With 6 BR  __,,,,
934, (Bronx NY),"$579,000 ","
                    6br -
                    2000ft2 -
                ",+++ ✔ {#} ✔ 2 Family Home 2 Story With Basement  :,,,,
946, (Williamsbridge),"$579,000 ","
                    6br -
                    2000ft2 -
                ",() Renovated 2 Family Home 3/3 Bedrooms  _,,,,
966, (Barnes Ave),"$579,000 ","
                    6br -
                    2000ft2 -
                ","♦ 2 Fam 2 story, 3/3br 3bath With Basemnet   {!}",,,,
1003, (Hartsdale),"$579,000 ","
                    3br -
                    1198ft2 -
                ",Price Improvement! Split Level in Desirable Huntley Estates,,,,
1883, (Jamaica),"$579,000 ","
                    4br -
                ",2 Bath House,,,,
2121, (Richmond Hill),"$585,000 ","
                    6br -
                    2024ft2 -
                ",2 Bath 2 story,,,,
357, (RICHMOND HILL 5268),"$589,000 ","
                    4br -
                ",* QUEENS HOUSE - ROMANTIC VIEWS *,,,,
1928, (Amityville),"$589,000 ","
                    4br -
                ",House For Sale,,,,
559, (CASTLE HILL 991129),"$589,999 ","
                    2br -
                ",* BRONX HOUSES ARE BEAUTIFUL *,,,,
179, (THROGS NECK 98529),"$599,000 ","
                    6br -
                ",* ZEN MODE WILL BE YOUR FRIEND *,,,,
313, (Queens),"$599,000 ","
                    4br -
                ",HOUSE SALE!!!!,,,,
360, (Saint Albans),"$599,000 ","
                    4br -
                ",HOUSE SALE!!!!,,,,
446, (Saint Albans),"$599,000 ","
                    4br -
                ",House sale!!!,,,,
548, (Saint Albans),"$599,000 ","
                    4br -
                ",House for sale!!!,,,,
552, (Saint Albans),"$599,000 ","
                    4br -
                ",Queens House for Sale!!!,,,,
560, (THROGS NECK 852),"$599,000 ","
                    6br -
                ",* NEW IN TOWN *,,,,
1251, (Jamaica),"$599,000 ","
                    4br -
                ","Completely Renovated 2 Fam, Pvt Dvwy, Only 1% Down",,,,
1903, (24 Amalfi Drive),"$599,000 ","
                    2700ft2 -
                ",Perfect Home for a family & kids to enjoy!!,,,,
2094, (Upper West Side),"$599,000 ","
                    1br -
                    585ft2 -
                ",UPPER WEST SIDE CO OP* PRICED TO SELL*TOTALLY RENOVATED*,,,,
2117, (Flushing),"$599,000 ","
                    2br -
                    850ft2 -
                ",1 Bath Condo,,,,
2255, (E 224 St),"$599,000 ",NA,"Large two family house,in the ""Wakefield"" area!",,,,
2279, (Tarrytown),"$599,000 ","
                    4br -
                    1534ft2 -
                ","Home for Sale in Tarrytown, NY (4bd 2ba)",,,,
2310,NA,"$599,000 ","
                    3br -
                    1000ft2 -
                ",Condo - Rego Park - Dr. Office,,,,
2343, (Dobbs Ferry),"$599,000 ","
                    3br -
                    1430ft2 -
                ","Home for Sale in Dobbs Ferry, NY (3bd 1ba/1hba)",,,,
250, (Upper West Side),"$600,000 ","
                    3br -
                    1800ft2 -
                ",BANK-OWNED CONDO A MILLION+ UNDER MARKET,,,,
365, (Upper East Side),"$600,000 ","
                    1br -
                    720ft2 -
                ",East 82nd between 2nd and first ave! Renovated 720sqft one Br/Elev/,,,,
710, (Astoria),"$600,000 ","
                    1br -
                ",New Condo Development in Astoria,,,,
2168, (Crown Heights),"$600,000 ",NA,approve plan  =LOT FOR SALE =    BY OWNER,,,,
2169, (Crown Heights),"$600,000 ",NA,approve plan  =LOT FOR SALE =    BY OWNER,,,,
2202, (Peekskill),"$600,000 ","
                    2584ft2 -
                ","Multiplex for Sale in Peekskill, NY (8 unit)",,,,
2333, (Flatlands/Canarsie),"$600,000 ","
                    4br -
                ","Flatlands/Canarsie Once in a lifetime deal, No work just move in!!!",,,,
762, (BROOKLYN),"$605,000 ","
                    4br -
                ",Semi-Detached 1 Family -- Being Renovated,,,,
1298, (BROOKLYN),"$605,000 ","
                    4br -
                ",Semi-Detached 1 Family -- Being Renovated,,,,
1875, (BROOKLYN),"$605,000 ","
                    4br -
                ",Semi-Detached 1 Family -- Being Renovated,,,,
853, (NEW ROCHELLE),"$609,021 ","
                    5br -
                    2775ft2 -
                ",BEAUTIFULLY UPDATED 5 BEDROOM HOME FOR SALE - EDGEWOOD PK,,,,
231, (CASTLE HILL 991129),"$609,999 ","
                    8br -
                ",* YOU'LL ENJOY THE LUXURY *,,,,
1201, (queens village),"$610,000 ","
                    5br -
                ",Brand new Mother daughter (2 family) home,,,,
1207, (queens village),"$610,000 ","
                    5br -
                ",Brand new Mother daughter (2 family) home,,,,
1208, (queens village),"$610,000 ","
                    5br -
                ",Brand new Mother daughter (2 family) home,,,,
1209, (Richmond Hill),"$610,000 ","
                    5br -
                ",Brand new Mother daughter (2 family) home,,,,
1210, (Richmond Hill),"$610,000 ","
                    5br -
                ",Brand new Mother daughter (2 family) home,,,,
1211, (queens village),"$610,000 ","
                    5br -
                ",Brand new Mother daughter (2 family) home,,,,
1233, (queens village),"$610,000 ","
                    5br -
                ",Brand new Mother daughter (2 family) home,,,,
246, (Jamaica),"$615,000 ","
                    4br -
                ",OPEN HOUSE,,,,
2119, (Maspeth),"$618,000 ","
                    2br -
                ",1.5 Bath Colonial,,,,
213, (THROGS NECK 98529),"$619,000 ","
                    5br -
                ",* YOU'LL LOVE EVERYTHING ABOUT THIS HOME *,,,,
830, (146 Lincoln Ave. E),"$619,000 ","
                    4br -
                ",2 Family + Mother Daughter,,,,
1257,NA,"$619,000 ","
                    6br -
                ",huge 2 family house with big yard and driveway in wakefield bronx,,,,
1, (North Edison),"$619,900 ","
                    5br -
                ",Lovely  Colonial Near Train Station,,,,
445, (Saint Albans),"$619,999 ","
                    6br -
                ",Gorgeous 2 Family Fully Renovated in Saint Albans!!!,,,,
1157, (Cambria Heights),"$620,000 ","
                    5br -
                ",Brand new Mother daughter (2 family) home,,,,
113, (Maspeth),"$625,000 ","
                    5br -
                ",2 Family house for sale. All cash needed (no mortgage),,,,
14, (Eastchester Rd),"$626,000 ","
                    6br -
                    2600ft2 -
                ","2 Family Brick 6Br 3Bath, Basement   -- ✔",,,,
37, (Bronx),"$626,000 ","
                    6br -
                    2600ft2 -
                ",@ \/ + 2 Family Semi Detached 3/3Br 3Bath  {!} ^^,,,,
59, (Bronx NY),"$626,000 ","
                    6br -
                    2600ft2 -
                ",:: Brick 2 Family 6Br 3Bath With Driveway   ↜,,,,
171, (Givan Ave),"$626,000 ","
                    6br -
                    2600ft2 -
                ",{!} <-- Renovated Huge Brick 2 Family 6Br 3Bath  ↠ ;-) {!} &!,,,,
2123, (Flushing),"$628,000 ","
                    2br -
                    900ft2 -
                ",2 Bath Condo,,,,
343, (QUEENS),"$629,000 ","
                    5br -
                ",Detached 1 Family -- Excellent Condition,,,,
918, (QUEENS),"$629,000 ","
                    5br -
                ",Detached 1 Family -- Excellent Condition,,,,
1246,NA,"$629,000 ","
                    5br -
                ",luxurious 2 family brick huge back yard with big bedrooms,,,,
1255,NA,"$629,000 ","
                    5br -
                ",luxurious 2 family brick huge back yard with big bedrooms,,,,
1256,NA,"$629,000 ","
                    5br -
                ",luxurious 2 family brick huge back yard with big bedrooms,,,,
1549,NA,"$629,000 ","
                    5br -
                ",luxurious 2 family brick huge back yard with big bedrooms,,,,
1550,NA,"$629,000 ","
                    5br -
                ",luxurious 2 family brick huge back yard with big bedrooms,,,,
1554,NA,"$629,000 ","
                    5br -
                ",luxurious 2 family brick huge back yard with big bedrooms,,,,
1555,NA,"$629,000 ","
                    5br -
                ",luxurious 2 family brick huge back yard with big bedrooms,,,,
1558,NA,"$629,000 ","
                    5br -
                ",luxurious 2 family brick huge back yard with big bedrooms,,,,
1559, (QUEENS),"$629,000 ","
                    5br -
                ",Detached 1 Family -- Excellent Condition,,,,
1567,NA,"$629,000 ","
                    5br -
                ",luxurious 2 family brick huge back yard with big bedrooms,,,,
2107, (College Point),"$629,000 ","
                    3br -
                ",2.5 Bath Condo,,,,
1239, (Ditmas Park),"$630,000 ","
                    2br -
                    1000ft2 -
                ",Newly Renovated Two Bedroom,,,,
60, (Key Largo),"$635,000 ","
                    3br -
                    1300ft2 -
                ",Looking for Home in they Keys?,,,,
527, (WAKEFIELD 729),"$635,000 ","
                    7br -
                ",* WHAT BETTER THAN THIS CAN YOU FIND? *,,,,
2020, (Bronx),"$635,000 ","
                    7br -
                ",#Semi-Attached brick #2Family #HOuse #forsale,,,,
199, (E 226 St),"$639,000 ","
                    6br -
                    1900ft2 -
                ",[!] :# New Construction Brick 2 Family Home  +++,,,,
779, (Bronx NY),"$639,000 ","
                    6br -
                    1900ft2 -
                ",2 Family Brick Home With Parking   !* ^^^,,,,
815, (Bronx),"$639,000 ","
                    6br -
                    1900ft2 -
                ",Brick 2 Family Home 6 BR 3 Bath,,,,
836, (E 226 St),"$639,000 ","
                    6br -
                    1900ft2 -
                ","New 2 Family Home 2 Story, Basemnet & Driveway",,,,
1962, (Massapequa),"$639,000 ","
                    4br -
                ",House For Sale,,,,
2061, (FAIRFIELD),"$644,500 ","
                    3br -
                    3375ft2 -
                ",PRIVATE GREENFIELD HILLS-ENERGY EFFICIENT!,,,,
972, (Hoboken),"$645,000 ","
                    2br -
                    1515ft2 -
                ",Gorgeous 2bed2bath Luxury 1500+ sqft Condo w/ Balcony,,,,
295, (SOUNDVIEW 4311),"$649,000 ","
                    6br -
                ",* BLESSING COME IN DIFFERENT SIZES *,,,,
375, (Lyvere St),"$649,000 ","
                    7br -
                    3000ft2 -
                ",$# \/ ↪ | ! Brick 2 Family Home in Parkchester For Sale  $#,,,,
565, (Queens),"$649,000 ","
                    4br -
                ",Newly renovated house for sale!!!,,,,
1523,NA,"$649,000 ","
                    5br -
                    1680ft2 -
                ",Two Family Renovated,,,,
1569,NA,"$649,000 ","
                    5br -
                    1680ft2 -
                ",Two Family Renovated,,,,
1573,NA,"$649,000 ","
                    5br -
                    1680ft2 -
                ",Two Family Renovated,,,,
1725, (Baychester),"$649,000 ","
                    5br -
                ",4 Bath House,,,,
1841, (Bronx / Wakefield),"$649,000 ","
                    7br -
                    2501ft2 -
                ",Luxury Renovated 2 Family Brick Driveway & Garage,,,,
1889, (Bronx / Wakefield),"$649,000 ","
                    7br -
                    2150ft2 -
                ",Luxury Renovated 2 Family Brick Driveway & Garage,,,,
12, (Canarsie),"$650,000 ","
                    4br -
                    2500ft2 -
                ",Brand New Renovated 2 Family in Canarsie,,,,
155, (Zerega Ave),"$650,000 ","
                    6br -
                    2000ft2 -
                ",↝ Parkchester 2 Family Home   +,,,,
939, (Avenue D),"$650,000 ","
                    3br -
                ",Brick 2 Family Property Attached Must Sell ASAP !,,,,
1035, (Bedford),"$650,000 ","
                    3br -
                    1988ft2 -
                ",Quintessential Colonial near the Heart of Bedford,,,,
1739,NA,"$650,000 ","
                    6br -
                ",Zerega Ave - 2 Family House for Sale,,,,
2251, (Greenpoint),"$650,000 ","
                    1br -
                ",Gorgeous 1BR Co-Op*New Reno*Sponsor Unit*Elev*NO BOARD APPROVAL,,,,
2254, (sheepshead bay),"$650,000 ","
                    3br -
                    1300ft2 -
                ",***parking/ Balcony | Condo by the bay***,,,,
2122, (Flushing),"$658,000 ","
                    2br -
                    800ft2 -
                ",1 Bath Condo,,,,
436, (RICHMOND HILL 952689),"$659,000 ","
                    4br -
                ",* QUEENS HOUSE - ROMANTIC VIEWS *,,,,
925, (Upper East Side),"$659,000 ","
                    444ft2 -
                ","Luxury CONDO alcove studio with doorman, views, central Heat/AC, gym",,,,
1951, (Lake Grove),"$659,000 ","
                    4br -
                ",House For Sale,,,,
2182, (Midtown East),"$659,000 ","
                    1br -
                ",!!! Around the corner from Vanderbilt YMCA !!!,,,,
2188, (Midtown East),"$659,000 ","
                    1br -
                ",!!! Around the corner from Vanderbilt YMCA !!!,,,,
368, (BAYCHESTER 5492),"$669,000 ","
                    5br -
                ",* TRICK OR TREAT YOURSELF *,,,,
522, (Wickham Ave),"$669,000 ","
                    5br -
                    3500ft2 -
                ",↩ {#} ↩ ↜ Detached 2 Family Home 5Br 3Bath  [!] $,,,,
632, (New Dorp),"$669,000 ","
                    4br -
                    2200ft2 -
                ",SINGLE FAMILY DETACHED (CENTER PLACE ),,,,
1048, (Wickham Ave),"$669,000 ","
                    6br -
                    11ft2 -
                ",⤶ ;) Detached 2 Family Home 5Br 3Bath  ♦ || (!),,,,
1195, (Wickham Ave),"$669,000 ","
                    6br -
                    11ft2 -
                ",~~ Detached 2 Family Home 5Br 3Bath  ^^^ \/ -!,,,,
1437, (Wickham Ave),"$669,000 ","
                    6br -
                    11ft2 -
                ",| Detached 2 Family Home 5Br 3Bath  ↩,,,,
464, (SOUTH OZONE PARK 9512319),"$669,999 ","
                    5br -
                ",* AS EASY AS A - Z *,,,,
684, (Bowbell),"$675,000 ","
                    5br -
                    2248ft2 -
                ",White Plains/Greenburgh Open House Sun 11/13 1-3 Adult kids?,,,,
1131, (East Flatbush),"$675,000 ","
                    7br -
                ",2 FAM BRICK! 7BRS! EXCELLENT LOCATION! NO BROKERS! BUYERS ONLY!,,,,
2101, (Woodside),"$675,000 ","
                    2br -
                ",3 Bath Colonial,,,,
2167," (rowayton, CT)","$675,000 ","
                    3br -
                    1700ft2 -
                ",★ ROWAYTON GEM★ ★  NEWER CAPE !,,,,
1228,NA,"$679,000 ","
                    5br -
                ",luxurious 2 family house in queens,,,,
1243,NA,"$679,000 ","
                    6br -
                ",luxury 3 family house brick in bedford park,,,,
1737,NA,"$685,000 ","
                    4br -
                    3036ft2 -
                ",Yorktown Heights - Gorgeous Single Family Home for Sale,,,,
2080, (Upper East Side),"$685,000 ","
                    1br -
                ",Large 1br Co-op Sponsor apartment,,,,
38, (Great Neck),"$695,000 ","
                    2br -
                ",Coop For Sale.  Our Exclusive!!!!,,,,
39, (Great Neck),"$695,000 ","
                    2br -
                ",Coop For Sale.  Our Exclusive!!!!,,,,
42, (Great Neck),"$695,000 ","
                    2br -
                ",Coop For Sale.  Our Exclusive!!!!,,,,
46, (Great Neck),"$695,000 ","
                    2br -
                ",Coop For Sale.  Our Exclusive!!!!,,,,
47, (Great Neck),"$695,000 ","
                    2br -
                ",Coop For Sale.  Our Exclusive!!!!,,,,
2024, (E.Elmhurst),"$698,000 ","
                    4br -
                ",Semi-Detached 2 Family House With Big Side/Backyard,,,,
2039, (Bayside),"$698,000 ","
                    1br -
                    950ft2 -
                ",All Renovated Spacious Jr4 1Br W Formal Dinning Room in Bayside,,,,
234,NA,"$699,000 ","
                    5br -
                ",Low Price ! brand new house,,,,
438, (Queens),"$699,000 ","
                    6br -
                ",BEAUTIFUL MULTI-FAMILY HOUSE FOR SALE!,,,,
525, (EAST NEW YORK 96399),"$699,000 ","
                    6br -
                ",* CONVENIENT LOCATION ALL IN ALL!,,,,
571,NA,"$699,000 ","
                    5br -
                ",huntington halesite House for great price,,,,
727, (Queens),"$699,000 ","
                    6br -
                ",BEAUTIFUL MULTI-FAMILY HOUSE FOR SALE!,,,,
753, (BROOKLYN),"$699,000 ","
                    4br -
                ",Attached 2 Family -- Newly Renovated,,,,
1234,NA,"$699,000 ","
                    6br -
                ",luxurious 2 family house fully renovated in brooklyn,,,,
1260,NA,"$699,000 ","
                    4br -
                ",luxurious 2 family brick huge back yard with big bedrooms,,,,
1261, (BROOKLYN),"$699,000 ","
                    4br -
                ",Attached 2 Family -- Newly Renovated,,,,
1541, (935 east 216 st),"$699,000 ","
                    8br -
                ",BEAUTIFUL THREE FAMILY HOSES FOR SALE 100 % BRICK -50000 $ REN INCOME,,,,
2010, (BROOKLYN),"$699,000 ","
                    4br -
                ",Attached 2 Family -- Newly Renovated,,,,
2436, (QUEENS),"$699,000 ",NA,LARGE 2 FAMILY BRICK HOUSE WITH 5 BEDROOMS AND 5 BATHS,,,,
1537, (Jamaica),"$709,000 ","
                    6br -
                ",4 Bath House,,,,
1563,NA,"$719,000 ","
                    6br -
                ",luxurious 2 family house in hollis queens,,,,
1095, (Brewster),"$725,000 ","
                    4br -
                    4315ft2 -
                ",Unique Property Boasting 2 Residences,,,,
1103, (Brewster),"$725,000 ","
                    4br -
                    4315ft2 -
                ",Unique Property Boasting 2 Residences,,,,
361, (Bronx),"$729,000 ","
                    8br -
                    3600ft2 -
                ",Newly Renovated Triplex,,,,
1534, (138-10 BROOKVILLE BLVD),"$729,000 ","
                    6br -
                ",LUXURY 2 FAMILY HOUSE BRAND NEW IN ROSDALE FOR SALE,,,,
2102, (Canarsie),"$729,000 ","
                    7br -
                    3212ft2 -
                ",3.5 Bath Duplex,,,,
823, (BROOKLYN),"$739,000 ","
                    4br -
                ",Semi-Detached Brick 2 Family,,,,
1426, (BROOKLYN),"$739,000 ","
                    4br -
                ",Semi-Detached Brick 2 Family,,,,
2085, (BROOKLYN),"$739,000 ","
                    4br -
                ",Semi-Detached Brick 2 Family,,,,
2048, (Whitestone),"$748,000 ","
                    2br -
                ",Newly Renovated Spacious 2 Bedrooms Solid Brick Colonia In Whitestone,,,,
29, (BROOKLYN),"$749,000 ",NA,Brick Attached 2 Family -- Renovated,,,,
841, (BROOKLYN),"$749,000 ","
                    6br -
                ",Brick Attached 2 Family -- Renovated,,,,
